ENSMUSG00000000902	1859
ENSMUSG00000000903	7
ENSMUSG00000000915	2276
ENSMUSG00000000916	830
ENSMUSG00000000934	403
ENSMUSG00000000938	0
ENSMUSG00000000942	5
ENSMUSG00000000948	54
ENSMUSG00000000957	14
ENSMUSG00000000958	50
ENSMUSG00000000959	1853
ENSMUSG00000000976	2090
ENSMUSG00000000982	35
ENSMUSG00000000983	0
ENSMUSG00000001014	0
ENSMUSG00000001016	1971
ENSMUSG00000001017	5070
ENSMUSG00000001018	1364
ENSMUSG00000001020	47
ENSMUSG00000001021	2
ENSMUSG00000001023	0
ENSMUSG00000001025	8
ENSMUSG00000001027	12
ENSMUSG00000001029	2309
ENSMUSG00000001034	1325
ENSMUSG00000001036	12
ENSMUSG00000001039	4
ENSMUSG00000001052	4896
ENSMUSG00000001053	285
ENSMUSG00000001054	1915
ENSMUSG00000001056	1921
ENSMUSG00000001062	885
ENSMUSG00000001065	1070
ENSMUSG00000001076	0
ENSMUSG00000001082	619
ENSMUSG00000001089	132
ENSMUSG00000001095	0
ENSMUSG00000001098	1386
ENSMUSG00000001100	956
ENSMUSG00000001103	0
ENSMUSG00000001105	652
ENSMUSG00000001119	0
ENSMUSG00000001120	212
ENSMUSG00000001123	4752
ENSMUSG00000001127	5260
ENSMUSG00000001128	273
ENSMUSG00000001131	2
ENSMUSG00000001134	244
ENSMUSG00000001138	1195
ENSMUSG00000001143	733
ENSMUSG00000001150	4169
ENSMUSG00000001151	4539
ENSMUSG00000001155	0
ENSMUSG00000001156	748
ENSMUSG00000001157	848
ENSMUSG00000001158	925
ENSMUSG00000001166	914
ENSMUSG00000001168	0
ENSMUSG00000001173	720
ENSMUSG00000001175	12846
ENSMUSG00000001211	5393
ENSMUSG00000001225	1
ENSMUSG00000001227	11
ENSMUSG00000001228	392
ENSMUSG00000001229	2465
ENSMUSG00000001240	1
ENSMUSG00000001247	13
ENSMUSG00000001248	27942
ENSMUSG00000001249	3
ENSMUSG00000001260	0
ENSMUSG00000001270	90
ENSMUSG00000001280	5531
ENSMUSG00000001281	24615
ENSMUSG00000001285	921
ENSMUSG00000001288	3377
ENSMUSG00000001289	10905
ENSMUSG00000001300	25
ENSMUSG00000001305	1212
ENSMUSG00000001313	4
ENSMUSG00000001323	315
ENSMUSG00000001333	4
ENSMUSG00000001334	24
ENSMUSG00000001348	11182
ENSMUSG00000001349	4
ENSMUSG00000001366	1414
ENSMUSG00000001376	809
ENSMUSG00000001379	1143
ENSMUSG00000001380	1975
ENSMUSG00000001383	2529
ENSMUSG00000001403	32
ENSMUSG00000001415	4912
ENSMUSG00000001416	5661
ENSMUSG00000001417	0
ENSMUSG00000001418	2247
ENSMUSG00000001419	9233
ENSMUSG00000001420	11
ENSMUSG00000001424	4295
ENSMUSG00000001435	16
ENSMUSG00000001436	811
ENSMUSG00000001440	9630
ENSMUSG00000001441	2050
ENSMUSG00000001444	138
ENSMUSG00000001445	1423
ENSMUSG00000001467	732
ENSMUSG00000001472	9172
ENSMUSG00000001473	94
ENSMUSG00000001482	659
ENSMUSG00000001493	0
ENSMUSG00000001494	0
ENSMUSG00000001496	21
ENSMUSG00000001497	0
ENSMUSG00000001504	0
ENSMUSG00000001506	57
ENSMUSG00000001507	108
ENSMUSG00000001508	0
ENSMUSG00000001510	1
ENSMUSG00000001517	228
ENSMUSG00000001518	1059
ENSMUSG00000001520	61
ENSMUSG00000001521	541
ENSMUSG00000001524	497
ENSMUSG00000001525	31310
ENSMUSG00000001542	56
ENSMUSG00000001552	124
ENSMUSG00000001555	2
ENSMUSG00000001558	35
ENSMUSG00000001566	0
ENSMUSG00000001569	1648
ENSMUSG00000001576	901
ENSMUSG00000001583	2
ENSMUSG00000001588	17854
ENSMUSG00000001604	0
ENSMUSG00000001622	0
ENSMUSG00000001627	998
ENSMUSG00000001630	507
ENSMUSG00000001632	3002
ENSMUSG00000001642	3783
ENSMUSG00000001655	0
ENSMUSG00000001656	0
ENSMUSG00000001657	1
ENSMUSG00000001661	2
ENSMUSG00000001663	3
ENSMUSG00000001665	4
ENSMUSG00000001666	529
ENSMUSG00000001670	0
ENSMUSG00000001672	0
ENSMUSG00000001674	2526
ENSMUSG00000001687	1435
ENSMUSG00000001700	5020
ENSMUSG00000001707	508
ENSMUSG00000001729	3921
ENSMUSG00000001739	0
ENSMUSG00000001741	6528
ENSMUSG00000001750	2412
ENSMUSG00000001751	741
ENSMUSG00000001755	937
ENSMUSG00000001761	25
ENSMUSG00000001763	17
ENSMUSG00000001767	1720
ENSMUSG00000001768	9
ENSMUSG00000001773	0
ENSMUSG00000001774	2512
ENSMUSG00000001783	4670
ENSMUSG00000001785	1350
ENSMUSG00000001786	1011
ENSMUSG00000001794	5982
ENSMUSG00000001802	2
ENSMUSG00000001804	0
